style,prompt,evaluation_seed
neon lighting,A neon lighting photo highlighting the ethereal emotion of nature seen in the forest valley.,28769
soft focus,"A carefully composed soft focus photo of the autumn woodland, filled with mysterious tones.",25908
overexposed,"A overexposed nature image of the misty jungle, blending vivid light and composition.",11187
astrophotography,"A finely detailed astrophotography photograph of the sunlit meadow, with radiant depth and perspective.",39218
black-and-white,An outdoor black-and-white photo portraying the rolling hills in mist-covered natural tones.,32873
food,"In food photography, a breathtaking depiction of the hidden waterfall during twilight.",33897
sepia tone,"A sepia tone visual study of the ancient ruins, exploring its breathtaking texture and lighting.",16884
blue hour,A blue hour photograph depicting the luminous stillness of the rolling hills at dawn.,15063
minimalist,A minimalist scenic shot portraying tranquil mountains and the desert dunes in harmony.,26832
high contrast,A high contrast photo series focusing on sun-drenched landscapes like the hidden waterfall.,1620
monochrome,"A large-format monochrome photo of a glowing forest valley, realistic lighting and crisp detail.",33078
golden hour,A golden hour view emphasizing crisp patterns and contrast within the desert dunes.,40494
documentary,A documentary travel photo that captures the mist-covered essence of the coastal cliffs.,29042
surreal,"An evocative surreal landscape photograph of the forest valley, balanced and icy.",46796
muted colors,A muted colors frame capturing luminous weather and mood around the frozen river.,19346
HDR,"A HDR photograph of a ethereal coral beach, emphasizing natural light and balanced tones.",19809
HDR,A HDR photograph focusing on the sun-drenched interplay between light and the autumn woodland.,5367
overexposed,A overexposed panoramic capture showing the dramatic openness of the coral beach.,34465
astrophotography,"A astrophotography landscape taken with vivid precision, showing the serene lake in full glory.",46217
sepia tone,A sepia tone photograph focusing on the tranquil interplay between light and the sunlit meadow.,10849
minimalist composition,"A minimalist composition outdoor shot of a tropical island, featuring radiant lighting and natural tones.",19770
high saturation,"A high saturation landscape scene of a snowy meadow beneath tranquil clouds, 8k resolution realism.",29424
overexposed,"A overexposed nature image of the frozen river, blending ethereal light and composition.",15723
high contrast,"A high contrast landscape taken with moody precision, showing the frozen river in full glory.",32745
long exposure,"A long exposure scenic capture portraying a softly lit autumn woodland, cinematic framing and tone.",21101
minimalist,"A minimalist exploration of the stormy sea, revealing serene forms and light gradients.",12882
vintage,"A vintage landscape scene portraying a sun-drenched hidden waterfall, with cinematic composition.",45204
blue hour,A scenic blue hour landscape capturing the beauty of the tropical island under breathtaking skies.,43343
low light,"A low light inspired shot of the coral beach, emphasizing texture and mist-covered atmosphere.",8074
documentary,"An evocative documentary landscape photograph of the frozen river, balanced and glowing.",15261
food,A scenic food landscape capturing the beauty of the ancient ruins under mist-covered skies.,41939
telephoto,"A finely detailed telephoto photograph of the dense pine forest, with serene depth and perspective.",44576
studio lighting,A studio lighting panoramic capture showing the radiant openness of the tropical island.,553
telephoto,A telephoto scenic shot portraying glowing mountains and the sunlit meadow in harmony.,16030
surreal,A surreal photograph of a frozen river bathed in crisp afternoon light and atmospheric tones.,39914
product,"A wide panoramic product view of a vivid frozen river, emphasizing scale and tranquility.",18967
monochrome,"A wide panoramic monochrome view of a ethereal autumn woodland, emphasizing scale and tranquility.",43208
neon lighting,"A documentary-style neon lighting image of the desert dunes, deeply breathtaking and realistic.",9759
documentary,"A wide panoramic documentary view of a sun-drenched sunlit meadow, emphasizing scale and tranquility.",34265
black-and-white,"A black-and-white landscape taken with majestic precision, showing the city skyline in full glory.",13281
street photography,A street photography frame capturing serene weather and mood around the tropical island.,47020
high saturation,"A high saturation nature image of the frozen river, blending ethereal light and composition.",21801
blue hour,"In blue hour photography, a serene depiction of the city skyline during twilight.",1742
overexposed,"A cinematic overexposed photograph of the serene lake, under radiant evening light.",47082
food,A food scenic shot portraying icy mountains and the stormy sea in harmony.,38688
neon lighting,A neon lighting photograph of a serene lake bathed in softly lit afternoon light and atmospheric tones.,45625
food,"A food outdoor shot of a ancient ruins, featuring softly lit lighting and natural tones.",16717
black-and-white,"Captured in black-and-white style, the coastal cliffs reveals its vivid charm through subtle lighting.",47029
HDR,"A HDR inspired shot of the volcanic crater, emphasizing texture and serene atmosphere.",32292
black-and-white,"A black-and-white photography piece showing the ancient ruins, filled with moody atmosphere.",16416
wide-angle,"A wide-angle image revealing the radiant grandeur of the ancient ruins, subtle yet powerful.",49182
architectural,"An evocative architectural landscape photograph of the sunlit meadow, balanced and crisp.",39541
high saturation,"A high saturation outdoor shot of a frozen river, featuring vivid lighting and natural tones.",30651
long exposure,"A long exposure picture of the coral beach, taken from a high vantage point showing its moody beauty.",14480
surreal,"A surreal outdoor shot of a rolling hills, featuring softly lit lighting and natural tones.",40677
neon lighting,A neon lighting frame capturing luminous weather and mood around the forest valley.,7547
soft focus,"Captured in soft focus aesthetic, the hidden waterfall appears icy against the horizon.",44875
golden hour,"An artistic golden hour image showing a crisp view of the rocky canyon, taken at sunrise.",36585
